prefix,state,max,min,final_radius,trend,spinodal_point
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__8max_4.5min,relaxed,8.0,4.5,0.108179167477314,decreasing,5.239637028918155
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__9max_3.9min,relaxed,9.0,3.9,0.126593374248993,increasing,4.9777568135664545
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__9max_4min,relaxed,9.0,4.0,0.121973075729724,increasing,5.0566243270259355
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__9max_4.1min,relaxed,9.0,4.1,0.116967228791909,increasing,5.135491840485416
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__9max_4.2min,relaxed,9.0,4.2,0.111631532262261,increasing,5.214359353944898
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__9max_4.25min,relaxed,9.0,4.25,0.108910754521233,increasing,5.253793110674639
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__9max_4.5min,relaxed,9.0,4.5,0.0927264258948529,decreasing,5.450961894323342
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__10max_4.25min,relaxed,10.0,4.25,0.0959510574909986,stable,5.465117976079826
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__10max_4.5min,relaxed,10.0,4.5,0.0809430653733928,decreasing,5.662286759728529
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__10max_4.75min,relaxed,10.0,4.75,0.0575278015079031,decreasing,5.859455543377233
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__10max_4.9min,relaxed,10.0,4.9,0.0342343047690349,decreasing,5.9777568135664545
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__10max_5.0min,relaxed,10.0,5.0,,,6.0566243270259355
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__11max_4.9min,relaxed,11.0,4.9,0.0155227983033792,decreasing,6.189081678971641
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__12max_4.25min,relaxed,12.0,4.25,0.0767791798600433,decreasing,5.8877677068902
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__12max_4.5min,relaxed,12.0,4.5,0.0628874567128961,decreasing,6.084936490538904
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__12max_4.75min,relaxed,12.0,4.75,0.0399408278000175,decreasing,6.2821052741876064
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__12max_4.9min,relaxed,12.0,4.9,,,6.400406544376829
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__12max_5.0min,relaxed,12.0,5.0,,,6.47927405783631
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__13max_4.9min,relaxed,13.0,4.9,,,6.611731409782016
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__14max_4.25min,relaxed,14.0,4.25,0.0622328256367432,decreasing,6.310417437700575
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__14max_4.5min,relaxed,14.0,4.5,0.0479186283853435,decreasing,6.507586221349278
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__14max_4.75min,relaxed,14.0,4.75,,,6.704755004997981
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__14max_4.9min,relaxed,14.0,4.9,,,6.823056275187203
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__14max_5.0min,relaxed,14.0,5.0,,,6.901923788646684
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__15max_4.9min,relaxed,15.0,4.9,,,7.034381140592391
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__16max_4.25min,relaxed,16.0,4.25,0.0493662638825675,decreasing,6.733067168510949
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__16max_4.5min,relaxed,16.0,4.5,0.0308336142210546,decreasing,6.930235952159652
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__16max_4.75min,relaxed,16.0,4.75,,,7.127404735808355
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__16max_4.9min,relaxed,16.0,4.9,,,7.245706005997578
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__16max_5.0min,relaxed,16.0,5.0,,,7.324573519457059
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__17max_4.9min,relaxed,17.0,4.9,,,7.457030871402765
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__18max_4.9min,relaxed,18.0,4.9,,,7.668355736807952
